pCode,spnCode,description,steps,signs,reaction
Р0069,102,Датчик давления нагнетаемого воздуха,"Проверка контактов и электропроводки датчика, а также проверка герметичности системы наддува",Обрыв цепи,Давление наддува воспринимается  как стандартное. Воспринимается давление нагнетаемого воздуха согласно атмосферному давлению
Р0087,"3775
3776",Магистральное давление,Проверка давления,"Открытие клапана ограничения давления, остановка двигателя",Сбой в работе ДВС
Р0115,3091,Датчик температуры охлаждающей жидкости,Проверка напряжения датчика,Отсутствует сигнал,"Выдача резервного параметра, ограничение момента вращения ДВС,  контроль OBD не возможен"
Р0130,3921,Концентрация О2, , , 
Р0190,3099,Датчик магистрального давления,Проверка напряжения датчика,Отсутствует сигнал,"ДВС продолжает работать с 800 BAR магистрального давления, ограничение момента вращения ДВС, уменьшение частоты вращения до 2000 об/мин для D08,  сбой в работе ДВС."
Р1000,81,Датчик давления отработавших газов,"Проверка контактов, проверка правильности скорости изменения перепадов давления отработанных газов","Плохой контакт, правильность давления", 
Р1004,105,Температура нагнетаемого воздуха,"Проверка контактов, проверка правильности скорости изменения температуры нагнетаемого воздуха.","Высокая или низкая температура, плохой контакт сигнального провода, неверный сигнал.",Сбой в работе ДВС.
Р1010,173,Датчик температуры отработавших газов,"Проверка контактов, проверка правильности скорости изменения температуры отработавших газов.","Высокая или низкая температура, плохой контакт сигнального провода, неверный сигнал.",Контроль OBD не возможен.
Р1013,1079,Питание датчика магистрального давления,Проверка на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Двигатель продолжает работать с 800 BAR магистрального давления,  ограничение момента вращения ДВС, сбой в работе ДВС."
Р1014,1080,"Питание датчика низкого давления топлива, нагнетаемого воздуха и давления масла.",Проверка на замыкание и на обрыв проводов питания и массы,"Замыкание, отсутствует сигнал",Электрический сбой.
Р1018,3081,Регулятор давления нагнетаемого воздуха,Значение давления нагнетаемого воздуха не подлежит регулировке.,Постоянное отклонение регулируемой величины.,"Ограничение момента вращения ДВС,  сбой в работе ДВС."
Р1020,3083,Правильность показаний датчика магистрального давления,Проверка снижения давления при остановке ДВС до уровня давления в атмосфере.,Высокое или низкое напряжение датчика при неработающем ДВС,Электрический сбой.
Р1022,3088,Датчик давления нагнетаемого воздуха после промежуточного охладителя во впускном коллекторе,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.","Имитация давления нагнетаемого воздуха в качестве эквивалента,   электрический сбой."
Р1023,3089,Датчик температуры нагнетаемого воздуха,Проверка напряжения датчика,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1028,3687,Клапан ограничения давления,Проверка открытия, ,"ДВС останавливается,   сбой в работе ДВС"
Р1036,3745,"Выходной каскад
исполнительного механизма давления нагнетаемого воздуха",Проверка выходного каскада на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Выходной каскад выключен, частота вращения ДВС уменьшена,   электрический сбой."
Р1037,3746,Выходной каскад рециркуляции ОГ,Проверка выходного каскада на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Выходной каскад выключен, частота вращения ДВС уменьшена,   сбой в работе ДВС. неисправности"
Р1038,3748,Выходной каскад блока дозировки,Проверка выходного каскада на замыкание и на обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Выходной каскад выключен, ДВС работает с 800 BAR магистрального давления, частота вращения ДВС уменьшена, ограничен крутящий момент ДВС, сбой в работе ДВС."
Р1041,3756,Обратный сигнал рециркуляции ОГ,Проверка на замыкание и обрыв проводов питания и массы.,"Замыкание, отсутствует сигнал.","Отсутствие значений или неправильные  значения с датчика, контроль OBD не возможен."
Р1044,3777,Контур регулировки магистрального давления,Проверка на повышенное магистральное давление.,Высокое магистральное давление не поддаётся регулировке.,"Не работает обратный слив топлива, возможно открытие клапана ограничения давления, сбой в работе ДВС."
Р1048,3781,Клапан ограничения давления,Проверка открытия клапана., ,"Магистральное давление от 600 до 800 BAR, ограничен крутящий момент ДВС, ограничена частота вращения ДВС."
Р1049,3789,Датчик сравнения перепада давления отработанных газов,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1050,3790,Правильность показаний датчика сравнения перепада давления отработанных газов,Проверка на низкое давление при работающем ДВС. Проверка двух различных исправленных значений давлений нагнетаемого воздуха и отработанных газов.,Разность давлений,Контроль OBD не возможен.
Р1051,3792,Датчик температуры отработанных газов,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1056,3811,Правильность показаний датчика температуры отработанных газов.,Проверка отклонения показаний датчика при выключении ДВС (температура газов должна опуститься до температуры окружающего воздуха).,Высокая или низкая температура.,Сбой системы отработанных газов.
Р1066,3847,Датчик температуры нагнетаемого воздуха в впускном коллекторе,Проверка напряжения   датчика.,"Замыкание, отсутствует сигнал.",Контроль OBD не возможен.
Р1069,3851,Датчик положения заслонки AGR,Проверка положения заслонки.,"Замыкание, отсутствует сигнал.",Сбой в работе ДВС.
Р1070,3852,Идентификатор AGR по температуре,Проверка достоверности рециркуляции отработанных газов при температуре нагнетаемого воздуха перед AGR и температуре нагнетаемого воздуха в середине впускного трубопровода.,Температура газов в впускном трубопроводе выше температуры газов перед AGR.,Сбой в работе ДВС.
Р1071,3853,AGR,Проверка отклонения величины регулятора AGR с регулировкой положения.,Отклонение положения от нормы.,Сбой в работе ДВС.
Р1300,651,"Инжектор №1, банк 1 (ДВС 4 цилиндра: цилиндр №1, ДВС 6 цилиндров: цилиндр №1, ДВС 8 цилиндров: цилиндр №1 главный, цилиндр №5 подчинённый)",Проверка цепи от инжектора до блока управления ДВС.,"Замыкание, отсутствует сигнал. FMI4 обрыв проводки, нет сигнала. FMI1 замыкание или другой электрический сбой.",Разрыв соединения с инжектором.
Р1301,652,"Инжектор №1, банк 2 (ДВС 4 цилиндра: цилиндр №3, ДВС 6 цилиндров: цилиндр №5, ДВС 8 цилиндров: цилиндр №2 главный, цилиндр №7 подчинённый)",Проверка цепи от инжектора до блока управления ДВС.,"Замыкание, отсутствует сигнал. FMI4 обрыв проводки, нет сигнала. FMI1 замыкание или другой электрический сбой.",Разрыв соединения с инжектором.
Р1302,653,"Инжектор №2, банк 1 (ДВС 4 цилиндра: цилиндр №4, ДВС 6 цилиндров: цилиндр №3, ДВС 8 цилиндров: цилиндр №3 главный, цилиндр №6 подчинённый)",Проверка цепи от инжектора до блока управления ДВС.,"Замыкание, отсутствует сигнал. FMI4 обрыв проводки, нет сигнала. FMI1 замыкание или другой электрический сбой.",Разрыв соединения с инжектором.
Р1303,654,"Инжектор №2, банк 2 (ДВС 4 цилиндра: цилиндр №2, ДВС 6 цилиндров: цилиндр №6, ДВС 8 цилиндров: цилиндр №4 главный, цилиндр №8 подчинённый)",Проверка цепи от инжектора до блока управления ДВС.,"Замыкание, отсутствует сигнал. FMI4 обрыв проводки, нет сигнала. FMI1 замыкание или другой электрический сбой.",Разрыв соединения с инжектором.
Р1304,655,"Инжектор №3, банк 1 (ДВС 6 цилиндров: цилиндр №2)",Проверка цепи от инжектора до блока управления ДВС.,"Замыкание, отсутствует сигнал. FMI4 обрыв проводки, нет сигнала. FMI1 замыкание или другой электрический сбой.",Разрыв соединения с инжектором.
Р1305,656,"Инжектор №3, банк 2 (ДВС 6 цилиндров: цилиндр №4)",Проверка цепи от инжектора до блока управления ДВС.,"Замыкание, отсутствует сигнал. FMI4 обрыв проводки, нет сигнала. FMI1 замыкание или другой электрический сбой.",Разрыв соединения с инжектором.
Р1306,3678,Банк инжекторов 1,Проверка напряжения.,"Замыкание, отсутствует сигнал.",Разрыв соединения с инжектором.
Р1307,3679,Банк инжекторов 2,Проверка напряжения.,"Замыкание, отсутствует сигнал.",Разрыв соединения с инжектором.
Р1500,190,Датчик числа  оборотов.,Проверка датчиков частоты вращения распределительного и коленчатого валов.,Неверный сигнал.,Электрический сбой.
Р1504,3063,Фаза инерции EDC не закончена.,Проверка правильности завершения двух последних выбегов., ,Контроль OBD не возможен.
Р1509,3671,Сбой EDC при считывании с энергонезависимой памяти (EEPROM),Проверка процедуры считывания.,Контрольная сумма не верна., 
Р1510,3673,CAN2,Проверка CAN2,Отсутствует или неверный сигнал. Не исправен компонент., 
Р1511,3676,CAN2,Проверка отключения выходного каскада инжекторов.,"Замыкание, отсутствует сигнал.", 
Р1512,3732,Градация неисправностей при инициализации.,Проверка устройства для контроля перенапряжения.,Устройство для контроля перенапряжения в блоке EDC не исправно., 
Р1514,3736,Выходной каскад EDC отключен.,Проверка каскада.,Перенапряжение или не исправны защитные линии., 
Р1515,3737,Инициализация в работе SLAVE/MASTER.,Проверка SLAVE/MASTER, , 
Р1517,3752,Датчик скорости вращения распределительного вала.,Проверка сигнала числа оборотов.,Отсутствует или не верный сигнал. Полярность не верна.,Электрический сбой. ДВС работает только с датчиком коленчатого вала.
Р1518,3753,Датчик скорости вращения коленчатого вала.,Проверка сигнала числа оборотов.,Отсутствует или не верный сигнал. Полярность не верна.,Электрический сбой. ДВС работает только с датчиком коленчатого вала.
Р1519,3754,Сигнальное устройство при пуске системы не исправно., ,Устройство не исправно.,ДВС выключается.
Р1521,3785,Сбой смены работы SLAVE/MASTER,Проверка работы SLAVE/MASTER, , 
Р1535,3849,Определение катализатора SCR.,"Проверка на задымление датчика отработанными газами. Если температура низкая, значит датчик не задымлён.)",Температура недостаточна для данной величины нагрузки.,Сбой системы отработанных газов.
Р2031,3794,Датчик температуры отработанных газов после доочистки.,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.",Сбой системы отработанных газов.
Р2200,3920,Концентрация NOх, , , 
Р2208,3919,Нагрев датчика NOx, , , 
Р2226,3046,Датчик атмосферного давления.,Проверка напряжения датчика.,"Замыкание, отсутствует сигнал.",Электрический сбой.
U1009,3819,CAN отработанных газов.,Проверка CAN3,"Сигнал отсутствует, не исправен компонент.", 
U1011,3821,CAN отработанных газов.,Проверка CAN3, , 
U1012,3822,CAN отработанных газов.,Проверка отсутствия сообщений.,"CAN3, время ожидания отклика истекло.", 